date,mktret,bondret
19620102,-0.007876,0
19620103,0.002496,0.001146
19620104,-0.008128,-0.001145
19620105,-0.0132,-0.001144
19620108,-0.007302,0
19620109,0.0003,-0.001143
19620110,-0.002317,0.001144
19620111,0.006121,-0.001143
19620112,0.003359,-0.001142
19620115,-0.002234,-0.00114
19620116,-0.005248,0.001142
19620117,-0.01005,0
19620118,0.000561,0
19620119,0.005706,0.001143
19620122,-0.000167,-0.001142
19620123,-0.006856,0
19620124,0.001974,-0.002278
19620125,-0.001186,0
19620126,-0.002734,-0.001138
19620129,-0.002971,0
19620130,0.003594,0
19620131,0.009553,0
19620201,0.005472,0
19620202,0.007618,0.001139
19620205,0.001692,-0.001138
19620206,0.002365,0
19620207,0.007144,0.001139
19620208,0.001927,0.00114
19620209,-0.000928,0
19620212,-0.000149,0
19620213,0.000328,0.001143
19620214,-0.000479,-0.001142
19620215,0.004198,-0.002278
19620216,-0.002095,0.00114
19620219,-0.00225,-0.004542
19620220,0.003309,0.002276
19620221,-0.004786,0
19620223,-0.002167,0.00114
19620226,-0.005005,-0.001139
19620227,0.001551,0.002283
19620228,0.001659,0.001143
19620301,0.003279,0
19620302,-0.000457,-0.001142
19620305,-0.002044,0
19620306,-0.003063,0.001143
19620307,-0.001071,0.001144
19620308,0.007332,0.001145
19620309,0.00296,0.001146
19620312,1.40E-05,0.002298
19620313,0.002949,0
19620314,0.003969,-0.002293
19620315,0.001816,0.001148
19620316,-0.000768,0.001149
19620319,-0.001767,0.002303
19620320,-0.002591,0.001153
19620321,-0.002087,0.00463
19620322,-0.001436,-0.00231
19620323,0.000972,-0.002305
19620326,-0.007527,0.001154
19620327,-0.002579,0
19620328,0.004914,0.001155
19620329,-0.000751,0.001156
19620330,-0.006554,0.001157
19620402,-0.002996,0.00232
19620403,-0.008082,0.00466
19620404,-0.005305,-0.003483
19620405,0.006071,0.002327
19620406,-0.000754,0
19620409,-0.007743,0
19620410,0.003404,-0.002322
19620411,-0.001847,0.001162
19620412,-0.01056,0.001164
19620413,0.001382,0
19620416,-0.003674,0
19620417,0.005192,0.002332
19620418,0.005441,-0.001165
19620419,0.004874,0
19620423,-0.001033,-0.001161
19620424,-0.001102,0
19620425,-0.01139,0
19620426,-0.00943,0.003495
