date	mktret	bondret
19411129	-0.020271	-0.003202
19411231	-0.046692	-0.024244
19420131	0.008979	0.006948
19420228	-0.023651	0.001138
19420331	-0.065144	0.009187
19420430	-0.043583	-0.002925
19420529	0.060174	0.007522
19420630	0.025772	0.000294
19420731	0.035326	0.001762
19420831	0.018408	0.003752
19420930	0.027069	0.000329
19421031	0.069088	0.002427
19421130	0.001177	-0.003506
19421231	0.05129	0.004905
19430130	0.073382	0.003273
19430227	0.060478	-0.000556
19430331	0.061794	0.000926
19430430	0.007333	0.004821
19430529	0.057142	0.00504
19430630	0.017351	0.001832
19430731	-0.047753	-0.00008
19430831	0.013444	0.002069
19430930	0.024077	0.00109
19431030	-0.011573	0.000494
19431130	-0.059903	-0.000058
19431231	0.064217	0.0018
19440131	0.01803	0.002106
19440229	0.003459	0.0032
19440331	0.024768	0.002084
19440429	-0.016484	0.001337
19440531	0.050909	0.002779
19440630	0.056842	0.00078
19440731	-0.015194	0.00363
19440831	0.015597	0.002692
19440930	0.000453	0.001406
19441031	0.002119	0.001196
19441130	0.016668	0.002367
19441230	0.04107	0.004219
19450131	0.020218	0.012659
19450228	0.064477	0.007666
19450331	-0.039177	0.002052
19450430	0.078232	0.016025
19450531	0.018185	0.005627
19450630	0.004676	0.016879
19450731	-0.022066	-0.008593
19450831	0.061826	0.002589
19450929	0.048297	0.005423
19451031	0.038749	0.010428
19451130	0.054859	0.012545
19451231	0.013003	0.019429
19460131	0.063402	0.002523
19460228	-0.058257	0.003182
19460330	0.057941	0.001014
19460430	0.042293	-0.013537
19460531	0.040195	-0.001237
19460628	-0.038668	0.007003
19460731	-0.026309	-0.003992
19460830	-0.064468	-0.011153
19460930	-0.102023	-0.00094
19461031	-0.014164	0.007378
19461130	0.000697	-0.005414
19461231	0.050161	0.014475
19470131	0.013084	-0.000628
19470228	-0.011091	0.002101
19470331	-0.01679	0.001981
19470430	-0.047698	-0.003675
19470529	-0.009625	0.003342
19470630	0.053226	0.001018
19470731	0.041348	0.006251
19470829	-0.017357	0.008132
19470930	-0.004667	-0.004354
19471031	0.024831	-0.00374
19471231	0.030708	-0.019199
19480331	0.082628	0.003421
19480430	0.038128	0.004469
19480528	0.074319	0.01412
19480630	-0.00028	-0.008406
19480730	-0.050288	-0.002126
19480831	0.003762	0.000139
19480930	-0.029813	0.001397
19481130	-0.092077	0.007578
19481231	0.032566	0.005617
19490131	0.003074	0.008172
19490228	-0.028852	0.004887
19490331	0.041537	0.007448
19490531	-0.028488	0.001946
19490630	0.00218	0.016705
19490729	0.056377	0.003345
19490831	0.026916	0.011111
19490930	0.032082	-0.001145
19491031	0.031801	0.001877
19491130	0.018535	0.002103
19500131	0.017764	-0.006128
19500228	0.015234	0.002117
19500331	0.012742	0.000821
19500531	0.044173	0.003311
19500630	-0.058018	-0.002504
19500731	0.016122	0.005549
19500831	0.050875	0.001396
19500929	0.049044	-0.007247
19501031	-0.001184	-0.004774
19501130	0.029056	0.003503
19510131	0.058735	0.005781
19510228	0.014086	-0.007392
19510430	0.050061	-0.006255
19510531	-0.022464	-0.006915
19510629	-0.025533	-0.006161
19510731	0.071611	0.013836
19510831	0.045004	0.009854
19510928	0.009087	-0.007957
19511031	-0.022629	0.001021
19511130	0.006193	-0.013607
19511231	0.035266	-0.006097
19520131	0.017002	0.002818
19520229	-0.025141	0.001395
19520331	0.04587	0.011072
19520430	-0.049148	0.01707
19520529	0.032847	-0.003354
19520630	0.039575	0.000301
19520731	0.011404	-0.001969
19520829	-0.006733	-0.006995
19520930	-0.019147	-0.013009
19521031	-0.005309	0.014773
19521128	0.059347	-0.001545
19521231	0.031066	-0.008587
19530130	-0.001644	0.001177
19530227	-0.00182	-0.008685
19530331	-0.012862	-0.008818
19530430	-0.027705	-0.010516
19530529	0.006921	-0.014752
19530630	-0.016377	0.022258
19530731	0.025111	0.003935
19530831	-0.044056	-0.000755
19530930	0.00301	0.029931
19531030	0.047523	0.007438
19531130	0.028501	-0.004943
19531231	0.000678	0.020608
19540129	0.052722	0.00893
19540226	0.017551	0.023964
19540331	0.037377	0.00583
19540430	0.043162	0.010377
19540528	0.031704	-0.008706
19540630	0.01156	0.016263
19540730	0.050668	0.013443
19540831	-0.022763	-0.003603
19540930	0.064633	-0.000974
19541029	-0.016216	0.000628
19541130	0.095387	-0.002496
19541231	0.055469	0.006414
19550131	0.006838	-0.024116
19550228	0.031354	-0.007836
19550331	-0.000995	0.003803
19550429	0.032352	0.002694
19550531	0.012033	0.008189
19550630	0.066108	-0.005227
19550729	0.020246	-0.008111
19550831	0.004197	0.001455
19550930	-0.002009	0.011917
19551031	-0.025752	0.007499
19551130	0.071864	-0.001599
19551230	0.016543	0.004898
19560131	-0.028119	0.006267
19560229	0.03961	0.00141
19560329	0.068456	-0.014378
19560430	0.005083	-0.009933
19560531	-0.049309	0.024215
19560629	0.037251	0.002995
19560731	0.05083	-0.024001
19560831	-0.02982	-0.017714
19560928	-0.049608	0.00305
19561031	0.007292	-0.006992
19561130	0.004678	-0.007299
19561231	0.034957	-0.021192
19570131	-0.032121	0.039325
19570228	-0.018703	0.001095
19570329	0.024112	-0.001425
19570430	0.045179	-0.025012
19570531	0.036679	-0.002643
19570731	0.008938	0.004566
19570830	-0.050051	-0.000038
19570930	-0.057586	0.009974
19571031	-0.041251	-0.004189
19571129	0.025605	0.05493
19571231	-0.03736	0.034926
19580131	0.049595	-0.015496
19580228	-0.014257	0.016872
19580331	0.0337	0.009601
19580430	0.030833	0.02206
19580529	0.024582	0.012067
19580630	0.029493	-0.018655
19580731	0.044844	-0.036621
19580829	0.019181	-0.04342
19580930	0.04868	-0.0141285
19581031	0.027184	0.014588
19581128	0.03061	0.0140445
19581231	0.053099	-0.0198945
19590130	0.00912	-0.0105065
19590227	0.01122	0.008097
19590331	0.004669	-0.001575
19590430	0.037899	-0.010404
19590529	0.019595	-0.002183
19590630	0.000676	0.001543
19590731	0.034362	0.008106
19590831	-0.012446	-0.0107065
19590930	-0.044977	0.000217
19591030	0.015746	0.016199
19591130	0.018557	-0.0119395
19591231	0.028043	-0.0238645
19600129	-0.066244	0.0093725
19600229	0.014419	0.0183895
19600331	-0.012822	0.0389805
19600429	-0.015271	-0.018671
19600531	0.034098	0.019872
19600630	0.022833	0.022916
19600729	-0.022705	0.0368905
19600831	0.032215	-0.011399
19600930	-0.058673	0.001951
19601031	-0.004705	-0.0010065
19601130	0.048617	-0.015506
19601230	0.048537	0.031404
19610131	0.063952	-0.0118265
19610228	0.037005	0.02138
19610330	0.03061	0.0007245
19610428	0.005645	0.013722
19610531	0.025894	0.006541
19610630	-0.028499	-0.0248355
19610731	0.029955	0.000499
19610831	0.026854	-0.013123
19610929	-0.01999	0.005999
19611031	0.027331	0.0056355
19611130	0.045451	-0.00162
19611229	0.000713	-0.005117
19620131	-0.036147	0.001621
19620228	0.019512	0.005731
19620330	-0.004688	0.0216895
19620430	-0.063435	0.0179345
19620531	-0.08462	0.0028335
19620629	-0.082615	-0.010298
19620731	0.065438	-0.0094405
19620831	0.023417	0.0276255
19620928	-0.050156	0.009765
19621031	0.002184	0.012428
